  1  CH3COOOH     76.054  2  4  3  0
  2  C4H9O        79.116  4  9  1  0
  3  C3H7O        59.089  3  7  1  0
  4  NO3          62.007  0  0  3  1
  5  CH3COOO      75.046  2  3  3  0
  6  C2H5OO       61.062  2  5  2  0
  7  C2H4OOH      61.062  2  5  2  0
  8  HONO2        63.015  0  1  3  1
  9  C2H5OOH      62.070  2  6  2  0
 10  CH3ONO       61.042  1  3  2  1
 11  C3H8CO       72.108  4  8  1  0
 12  CH3NO2       61.042  1  3  2  1
 13  1C4H9        57.116  4  9  0  0
 14  2C4H9        57.116  4  9  0  0
 15  C4H10        58.124  4 10  0  0
 16  C3H7OH       60.097  3  8  1  0
 17  CH3OO        47.035  1  3  2  0
 18  C4H8Y        56.108  4  8  0  0
 19  CH3OOH       48.043  1  4  2  0
 20  HNO2         47.015  0  1  2  1
 21  CH3OCO       59.046  2  3  2  0
 22  C2H5CHO      58.081  3  6  1  0
 23  C2H6CO       58.081  3  6  1  0
 24  C2H5O        45.062  2  5  1  0
 25  CH3NO        45.042  1  3  1  1
 26  2C2H4OH      45.062  2  5  1  0
 27  NO2          46.007  0  0  2  1
 28  2C3H7        43.089  3  7  0  0
 29  1C3H7        43.089  3  7  0  0
 30  1C2H4OH      45.062  2  5  1  0
 31  HONO         47.015  0  1  2  1
 32  C3H8         44.097  3  8  0  0
 33  HCNN         41.033  1  1  0  2
 34  cC2H4O       44.054  2  4  1  0
 35  HCNO         43.026  1  1  1  1
 36  C2H5OH       46.070  2  6  1  0
 37  N2O          44.014  0  0  1  2
 38  C2H3CHOZ     56.065  3  4  1  0
 39  OOH          33.008  0  1  2  0
 40  CH2CHO       43.046  2  3  1  0
 41  H2O2         34.016  0  2  2  0
 42  CH3CO        43.046  2  3  1  0
 43  NCO          42.018  1  0  1  1
 44  CH3O         31.035  1  3  1  0
 45  O2           32.000  0  0  2  0
 46  CH3CHO       44.054  2  4  1  0
 47  HNO          31.015  0  1  1  1
 48  C            12.011  1  0  0  0
 49  CHCO         41.030  2  1  1  0
 50  CO2H         45.019  1  1  2  0
 51  HOCN         43.026  1  1  1  1
 52  C2H5         29.062  2  5  0  0
 53  C2H          25.030  2  1  0  0
 54  CH2OH        31.035  1  3  1  0
 55  CH           13.019  1  1  0  0
 56  C2H6         30.070  2  6  0  0
 57  C2H3         27.046  2  3  0  0
 58  CH2CO        42.038  2  2  1  0
 59  NNH          29.022  0  1  0  2
 60  H2CN         28.034  1  2  0  1
 61  CH3OH        32.043  1  4  1  0
 62  N4S          14.007  0  0  0  1
 63  N2D          14.007  0  0  0  1
 64  CN           26.018  1  0  0  1
 65  1CH2         14.027  1  2  0  0
 66  HNCO         43.026  1  1  1  1
 67  NO           30.007  0  0  1  1
 68  O3P          16.000  0  0  1  0
 69  O1D          16.000  0  0  1  0
 70  C2H4         28.054  2  4  0  0
 71  NH           15.015  0  1  0  1
 72  3CH2         14.027  1  2  0  0
 73  HCO          29.019  1  1  1  0
 74  C2H2         26.038  2  2  0  0
 75  H2CO         30.027  1  2  1  0
 76  NH2          16.023  0  2  0  1
 77  CO2          44.011  1  0  2  0
 78  OH           17.008  0  1  1  0
 79  CH3          15.035  1  3  0  0
 80  HCN          27.026  1  1  0  1
 81  NH3          17.031  0  3  0  1
 82  CH4          16.043  1  4  0  0
 83  N2           28.014  0  0  0  2
 84  CO           28.011  1  0  1  0
 85  H2O          18.016  0  2  1  0
 86  H             1.008  0  1  0  0
 87  He            4.003  0  0  0  0
 88  H2            2.016  0  2  0  0
 89  N2O4         92.014  0  0  4  2
 90  N2O3         76.014  0  0  3  2
 91  N2H2         30.030  0  2  0  2
 92  N2H3         31.038  0  3  0  2
 93  N2H4         32.046  0  4  0  2
 94  HNNO         45.022  0  1  1  2
 95  HNOH         32.023  0  2  1  1
 96  HNO3         63.015  0  1  3  1
 97  NH2OH        33.031  0  3  1  1
 98  H2NO         32.023  0  2  1  1
 99  CNN          40.025  1  0  0  2
100  H2CNO        44.034  1  2  1  1
101  C2N2         52.036  2  0  0  2
102  HCNH         28.034  1  2  0  1
103  HNC          27.026  1  1  0  1
104  HON          31.015  0  1  1  1
105  NCN          40.025  1  0  0  2
